"Date","Confirmed","Type"
2020-03-01,74,"Confirmed"
2020-03-02,98,"Confirmed"
2020-03-03,118,"Confirmed"
2020-03-04,149,"Confirmed"
2020-03-05,217,"Confirmed"
2020-03-06,262,"Confirmed"
2020-03-07,402,"Confirmed"
2020-03-08,518,"Confirmed"
2020-03-09,583,"Confirmed"
2020-03-10,959,"Confirmed"
2020-03-11,1281,"Confirmed"
2020-03-12,1663,"Confirmed"
2020-03-13,2179,"Confirmed"
2020-03-14,2727,"Confirmed"
2020-03-15,3499,"Confirmed"
2020-03-16,4632,"Confirmed"
2020-03-17,6421,"Confirmed"
2020-03-18,7783,"Confirmed"
2020-03-19,13677,"Confirmed"
2020-03-20,19100,"Confirmed"
2020-03-21,25489,"Confirmed"
2020-03-22,33272,"Confirmed"
2020-03-23,43847,"Confirmed"
2020-03-24,53740,"Confirmed"
2020-03-25,65778,"Confirmed"
2020-03-26,83836,"Confirmed"
2020-03-27,101657,"Confirmed"
2020-03-28,121478,"Confirmed"
2020-03-29,140886,"Confirmed"
2020-03-30,161807,"Confirmed"
2020-03-31,188172,"Confirmed"
2020-04-01,213372,"Confirmed"
2020-04-02,243453,"Confirmed"
2020-04-03,275586,"Confirmed"
2020-04-04,308850,"Confirmed"
2020-04-05,337072,"Confirmed"
2020-03-01,74,"Estimate 1.33"
2020-03-02,98,"Estimate 1.33"
2020-03-03,131,"Estimate 1.33"
2020-03-04,174,"Estimate 1.33"
2020-03-05,232,"Estimate 1.33"
2020-03-06,308,"Estimate 1.33"
2020-03-07,410,"Estimate 1.33"
2020-03-08,545,"Estimate 1.33"
2020-03-09,725,"Estimate 1.33"
2020-03-10,964,"Estimate 1.33"
2020-03-11,1282,"Estimate 1.33"
2020-03-12,1705,"Estimate 1.33"
2020-03-13,2267,"Estimate 1.33"
2020-03-14,3015,"Estimate 1.33"
2020-03-15,4010,"Estimate 1.33"
2020-03-16,5333,"Estimate 1.33"
2020-03-17,7093,"Estimate 1.33"
2020-03-18,9434,"Estimate 1.33"
2020-03-19,12548,"Estimate 1.33"
2020-03-20,16688,"Estimate 1.33"
2020-03-21,22195,"Estimate 1.33"
2020-03-22,29520,"Estimate 1.33"
2020-03-23,39262,"Estimate 1.33"
2020-03-24,52218,"Estimate 1.33"
2020-03-25,69450,"Estimate 1.33"
2020-03-26,92368,"Estimate 1.33"
2020-03-27,122850,"Estimate 1.33"
2020-03-28,163390,"Estimate 1.33"
2020-03-29,217309,"Estimate 1.33"
2020-03-30,289021,"Estimate 1.33"
2020-03-31,384398,"Estimate 1.33"
2020-04-01,511249,"Estimate 1.33"
2020-04-02,679961,"Estimate 1.33"
2020-04-03,904349,"Estimate 1.33"
2020-04-04,1202784,"Estimate 1.33"
2020-04-05,1599702,"Estimate 1.33"
2020-04-06,2127604,"Estimate 1.33"
2020-04-07,2829713,"Estimate 1.33"
2020-04-08,3763519,"Estimate 1.33"
2020-04-09,5005480,"Estimate 1.33"
2020-04-10,6657288,"Estimate 1.33"
2020-04-11,8854193,"Estimate 1.33"
2020-04-12,11776077,"Estimate 1.33"
2020-04-13,15662182,"Estimate 1.33"
2020-04-14,20830702,"Estimate 1.33"
2020-04-15,27704834,"Estimate 1.33"
2020-03-01,74,"Estimate 1.30"
2020-03-02,96,"Estimate 1.30"
2020-03-03,125,"Estimate 1.30"
2020-03-04,163,"Estimate 1.30"
2020-03-05,211,"Estimate 1.30"
2020-03-06,275,"Estimate 1.30"
2020-03-07,357,"Estimate 1.30"
2020-03-08,464,"Estimate 1.30"
2020-03-09,604,"Estimate 1.30"
2020-03-10,785,"Estimate 1.30"
2020-03-11,1020,"Estimate 1.30"
2020-03-12,1326,"Estimate 1.30"
2020-03-13,1724,"Estimate 1.30"
2020-03-14,2241,"Estimate 1.30"
2020-03-15,2914,"Estimate 1.30"
2020-03-16,3788,"Estimate 1.30"
2020-03-17,4924,"Estimate 1.30"
2020-03-18,6401,"Estimate 1.30"
2020-03-19,8322,"Estimate 1.30"
2020-03-20,10818,"Estimate 1.30"
2020-03-21,14064,"Estimate 1.30"
2020-03-22,18283,"Estimate 1.30"
2020-03-23,23768,"Estimate 1.30"
2020-03-24,30898,"Estimate 1.30"
2020-03-25,40167,"Estimate 1.30"
2020-03-26,52217,"Estimate 1.30"
2020-03-27,67883,"Estimate 1.30"
2020-03-28,88247,"Estimate 1.30"
2020-03-29,114722,"Estimate 1.30"
2020-03-30,149138,"Estimate 1.30"
2020-03-31,193880,"Estimate 1.30"
2020-04-01,252044,"Estimate 1.30"
2020-04-02,327657,"Estimate 1.30"
2020-04-03,425954,"Estimate 1.30"
2020-04-04,553740,"Estimate 1.30"
2020-04-05,719862,"Estimate 1.30"
2020-04-06,935820,"Estimate 1.30"
2020-04-07,1216566,"Estimate 1.30"
2020-04-08,1581536,"Estimate 1.30"
2020-04-09,2055997,"Estimate 1.30"
2020-04-10,2672796,"Estimate 1.30"
2020-04-11,3474635,"Estimate 1.30"
2020-04-12,4517025,"Estimate 1.30"
2020-04-13,5872133,"Estimate 1.30"
2020-04-14,7633773,"Estimate 1.30"
2020-04-15,9923904,"Estimate 1.30"
